From	To
P07204	1ADX
P04275	1AO3
P05771	2I0E
Q9UMN6	3UVM
P04626	1MFG
P08588	2LSQ
P02452	1Q7D
P07203	2F8A
P13051	1AKZ
P06756	1JV2
P00533	1DNQ
Q15418	2WNT
P41240	1BYG
Q03405	1YWH
P11926	1D7K
P20711	3RBF
P01350	5WRJ
P11021	3IUC
Q5EEX2	1A7F
P02751	1E88
P61769	1A1M
P10997	1KUW
P11387	1A31
Q06210	2V4M
P05412	1A02
P08047	1SP1
P25963	1IKN
Q13162	2PN8
P49327	1XKT
P53396	3MWD
P05187	1EW2
P04035	1DQ8
P01033	1D2B
Q03431	1BL1
P10415	1G5M
O14763	1D0G
P19490	2AWW
P27008	2LE0
P62898	5C0Z
P14136	6A9P
P10635	2F9Q
P41143	1OZC
P41595	4IB4
P35367	3RZE
P11229	5CXV
P05164	1CXP
P05231	1ALU
P04141	1CSG
P01584	1HIB
P12931	1A07
P28482	1PME
P35968	1VR2
P08514	1DPK
P05106	1JV2
P07550	1GQ4
P17811	2X4M
P05177	2HI4
P61626	133L
P01100	1A02
P08236	1BHG
P34931	3GDQ
P04637	1A1U
P02768	1AO6
P11245	2PFR
P02778	1LV9
P05113	1HUL
Q5VW80	3II0
Q16539	1A9U
P02724	1AFO
P00491	1M73
P51580	2BZG
Q99062	1AZ7
P08183	6C0V
Q09428	6C3O
P08700	1JLI
P01588	1BUY
P00519	1AB2
P11413	1QKI
P07195	1I0Z
P00738	4WJG
P16109	1FSB
P40225	1V7M
P34913	1S8O
P17252	2ELI
P27361	2ZOQ
P41159	1AX8
P05112	1BBN
Q9UQF2	2G01
P00568	1Z83
O43570	1JCZ
P02144	3RGK
P48788	2MKP
P60174	1HTI
P09874	1UK0
P06276	1EHO
P08684	1TQN
P07327	1HSO
P47895	5FHZ
P08254	1B3D
P00563	1U6R
P02649	1B68
P08172	1LUB
Q12809	1BYW
P51787	3BJ4
P15382	2K21
Q14524	2KBI
P27487	1J2E
P04150	1M2Z
Q62625	1UGM
P13716	1E51
P06132	1JPH
O00411	3SPA
P25500	1F5A
P00338	1I10
P00492	1BZY
P11388	1LWZ
P06881	1LS7
Q9NYY3	4I5M
P00441	1AZV
P04040	1DGB
P00390	1ALG
P05543	2CEO
P63098	1AUI
P01270	1BWX
P04229	1AQD
Q8TD30	3IHJ
Q15848	4DOU
P19793	1BY4
P63010	1E42
P11712	1OG2
P37288	1YTV
Q9UHR4	2KXC
P01137	1KLA
P01303	1QFA
P22303	1B41
Q9UNQ0	5NJ3
P21728	1OZ5
P14174	1CA7
P10145	1ICW
P03952	2ANW
P01375	1A8M
P07900	1BYQ
P25685	1HDJ
P10275	1E3G
P19438	1EXT
P35228	1NSI
P05362	1D3E
P08670	1GK4
P05181	3E4E
P09488	1GTU
P14416	1I15
Q06141	1UV0
P18206	1RKC
Q15185	1EJF
P09455	5H8T
P01583	1ITA
Q9BY76	6EUB
Q15759	3GC8
P51577	2BP5
P42574	1CP3
Q92934	1G5J
P30046	1DPT
P31749	1H10
P38936	1AXC
P10144	1FQ3
Q14790	1F9E
P55211	1JXQ
P51572	4JZL
Q16576	3CFS
P45983	1UKH
P40126	4HX1
P17612	2GU8
P32119	1QMV
P01215	1DZ7
Q07815	1F16
P12004	1AXC
Q9ZP54	1V9X
P19440	4GDX
P50416	2LE3
P43155	1NM8
P17174	3II0
P02741	1B09
P08913	1HLL
P02763	3KQ0
P28329	2FY2
P30542	5N2S
P03129	4YOZ
P33261	4GQS
P20813	3IBD
P23560	1B8M
O43865	3MTG
Q9BY32	2CAR
Q16647	2IAG
P05088	3WCR
P11166	1SUK
P41145	2A0D
P53582	2B3H
P02787	1A8E
P23110	1S6D
P14210	1BHT
P00505	5AX8
P15337	1KDX
Q12772	1UKL
P36956	1AM9
P0DMM9	1CJM
Q05655	1YRK
P17735	3DYD
P08620	1IJT
P04798	4I8V
P11509	1Z10
Q00796	1PL6
P05202	3HLM
P06804	2TNF
P02771	3MRK
Q9JHW2	2W1V
P35568	1IRS
O00443	2AR5
P04406	1U8F
Q9Y4H2	3FQW
P08505	2L3Y
P18893	4X51
P51686	5LWE
P05305	1EDN
P29474	1M9J
P49841	1GNG
P01889	3VCL
P00813	1M7M
P50281	1BQQ
P19838	1MDI
P35247	1B08
P09601	1N3U
O95163	5CQR
P33681	1DR9
P40763	5AX3
P23415	1MOT
Q07812	1F16
P04054	1YSK
P04183	1W4R
P21964	3A7E
Q29787	1FV1
P30460	1AGB
P0C6X7	1O5S
P00387	1M91
P60568	1ILM
P51449	3B0W
P06865	1QBC
P06746	1BPX
P01579	1EKU
P21836	1C2B
P62813	6DW0
P33527	2CBZ
O15350	1COK
Q12794	2PE4
P20132	1P5J
Q13882	1RJA
P01106	1A93
P35439	1PB7
Q01094	1H24
P30044	1H4O
Q92484	5EBB
P31645	5I6X
P62873	4KFM
P09486	1BMO
P10451	3CXD
P00742	1C5M
P35520	1JBQ
P42898	6FCX
P01308	1A7F
Q13541	1EJ4
P06730	1IPB
P01148	4D5M
P22888	1LUT
P01019	1N9U
P20309	2CSA
P03372	1A52
Q00341	1VIG
P12821	1O86
O43240	5LPE
P01042	1NY2
P02462	1LI1
P14923	3IFQ
P24385	2W96
Q5VZK9	3LK2
Q9Y490	1SYQ
P06400	1AD6
P09917	2ABV
Q96EB6	4I5I
P32239	1L4T
P10276	1DKF
P98155	1V9U
P37231	1FM6
P17707	1I72
O75828	2HRB
P00167	2I96
P00388	1AMO
P35222	1G3J
Q15797	1KHU
Q9UMS4	4LG8
